#{"t_start": 1773698179.852567, "env_id": "None"}
r,l,t
39.84,116,147.320688
-59.0,200,147.463796
-59.0,200,147.598989
18.37,163,147.71557
10.03,197,147.857792
-63.0,200,148.005636
-65.0,200,148.140346
-60.0,200,148.282412
-47.0,200,148.430367
-66.0,200,148.584703
-85.0,200,148.72974
-43.0,200,148.875319
-61.0,200,149.026618
31.78,122,149.118156
-57.0,200,149.271512
-52.0,200,149.415504
-85.0,200,149.563128
-81.0,200,149.714862
-58.0,200,149.860381
37.46,154,149.976183
-37.0,200,150.123985
-53.0,200,150.274598
-61.0,200,150.424516
-67.0,200,150.571991
-62.0,200,150.724201
-71.0,200,150.880299
-79.0,200,151.016726
-65.0,200,151.161985
-38.0,200,151.309908
-70.0,200,151.479372
-85.0,200,151.653111
-68.0,200,151.81337
-150.0,200,151.957699
-63.0,200,152.12611
-71.0,200,152.285446
-63.0,200,152.435204
-65.0,200,152.577704
-55.0,200,152.724348
-62.0,200,152.867534
-34.0,200,153.009184
-71.0,200,153.142847
-62.0,200,153.299124
-66.0,200,153.431573
-50.0,200,153.567844
-57.0,200,153.707402
-68.0,200,153.850089
3.0,200,153.980824
-43.0,200,154.114917
-56.0,200,154.247741
-39.0,200,154.389486
-64.0,200,154.522999
-46.0,200,154.660624
-52.0,200,154.807905
-66.0,200,154.972495
-55.0,200,155.121686
-62.0,200,155.271497
-41.0,200,155.436804
-59.0,200,155.610464
-78.0,200,155.771475
-86.0,200,155.929499
-32.0,200,156.074418
18.0,200,156.240814
-42.0,200,156.491028
-68.0,200,156.723662
-55.0,200,156.951498
-62.0,200,157.217372
-48.0,200,157.439741
-108.0,200,157.629949
-56.0,200,157.816726
-62.0,200,157.989796
-72.0,200,158.154821
-51.0,200,158.340848
